2022/03/01,2
2022/03/02,8
2022/03/03,16
2022/03/04,19
2022/03/05,28
2022/03/06,48
2022/03/07,55
2022/03/08,65
2022/03/09,80
2022/03/10,75
2022/03/11,83
2022/03/12,65
2022/03/13,169
2022/03/14,139
2022/03/15,202
2022/03/16,158
2022/03/17,260
2022/03/18,374
2022/03/19,509
2022/03/20,758
2022/03/21,896
2022/03/22,981
2022/03/23,983
2022/03/24,1609
2022/03/25,2269
2022/03/26,2676
2022/03/27,3500
2022/03/28,4477
2022/03/29,5982
2022/03/30,5653
2022/03/31,6311
2022/04/01,8226
2022/04/02,9006
2022/04/03,13354
2022/04/04,17077
2022/04/05,19982
2022/04/06,21222
2022/04/07,23624
2022/04/08,24943
2022/04/09,26087
2022/04/10,23342
2022/04/11,26330
2022/04/12,27719
2022/04/13,23072
2022/04/14,23513
2022/04/15,24820
2022/04/16,22248
2022/04/17,20416
2022/04/18,18901
2022/04/19,18495
2022/04/20,17629
2022/04/21,23370
2022/04/22,21058
2022/04/23,19455
2022/04/24,16980
2022/04/25,13562
2022/04/26,10622
2022/04/27,15032
2022/04/28,10181
2022/04/29,7872
2022/04/30,7333
2022/05/01,5669
2022/05/02,4982
2022/05/03,4651
2022/05/04,4269
2022/05/05,4214
2022/05/06,3975
2022/05/07,3947
2022/05/08,3014
2022/05/09,1487
2022/05/10,1449
2022/05/11,2096
2022/05/12,1681
2022/05/13,1369
2022/05/14,938
2022/05/15,823
2022/05/16,855
2022/05/17,719
2022/05/18,858
2022/05/19,868
2022/05/20,622
2022/05/21,558
2022/05/22,480
