2022.3.1,1,1,2,25
2022.3.2,3,5,8,23
2022.3.3,2,14,16,22
2022.3.4,3,16,19,21
2022.3.5,0,28,28,17
2022.3.6,3,45,48,19
2022.3.7,4,51,55,13
2022.3.8,3,62,65,6
2022.3.9,4,76,80,15
2022.3.10,11,64,75,9
2022.3.11,5,78,83,27
2022.3.12,1,64,65,60
2022.3.13,41,128,169,75
2022.3.14,9,130,139,39
2022.3.15,5,197,202,55
2022.3.16,8,150,158,71
2022.3.17,57,203,260,69
2022.3.18,8,366,374,46
2022.3.19,17,492,509,49
2022.3.20,24,734,758,33
2022.3.21,31,865,896,23
2022.3.22,4,977,981,13
2022.3.23,4,979,983,5
2022.3.24,29,1580,1609,2
2022.3.25,38,2231,2269,2
2022.3.26,45,2631,2676,0
2022.3.27,50,3450,3500,1
2022.3.28,96,4381,4477,3
2022.3.29,326,5656,5982,1
2022.3.30,355,5298,5653,6
