ID,street,population
1,1,56647
2,2,216216
3,3,150671
4,4,178628
5,5,137279
6,6,107612
7,7,87346
8,8,123918
9,9,188996
10,10,146138
11,11,179152
12,12,109485
13,13,314096
14,14,113975
15,15,46960
16,16,82337
17,17,87663
18,18,29597
19,19,86882
20,20,131229
21,21,77222
22,22,71776
23,23,58891
24,24,76226
25,25,50592
26,26,164992
27,27,81312
28,28,230583
29,29,61595
30,30,51945
31,31,99255
32,32,27028
33,33,66908
34,34,94340
35,35,190978
36,36,83040
37,37,83421
38,38,60909
39,39,53110
40,40,59207
41,41,181575
42,42,115067
43,43,60323
44,44,42259
45,45,24496
46,46,64533
47,47,64704
48,48,44529
49,49,52596
50,50,69562
51,51,61135
52,52,64649
53,53,189290
54,54,78887
55,55,46285
56,56,106482
57,57,35693
58,58,35087
59,59,55353
60,60,38531
61,61,36937
62,62,156158
63,63,24827
64,64,71910
65,65,39919
66,66,40765
67,67,28000
68,68,26139
69,69,57768
70,70,18545
71,71,36387
72,72,161628
73,73,44262
74,74,37768
75,75,32234
76,76,71724
77,77,38888
78,78,86627
79,79,14141
80,80,27680
81,81,37992
82,82,54932
83,83,32213
84,84,19426
85,85,17138
86,86,79913
87,87,16548
88,88,52988
89,89,12526
90,90,9178
91,91,41648
92,92,68916
93,93,25254
94,94,22256
95,95,46008
96,96,42985
97,97,23878
98,98,75128
99,99,64228
100,100,35631
101,101,62508
102,102,37703
103,103,66087
104,104,97474
105,105,26989
106,106,20791
107,107,67496
108,108,16197
109,109,26531
110,110,28674
111,111,67832
112,112,47326
113,113,33669
114,114,24592
115,115,53920
116,116,55080
117,117,49793
118,118,32159
119,119,45220
120,120,66500
121,121,49364
122,122,26228
123,123,52560
124,124,32765
125,125,31535
126,126,30039
127,127,46483
128,128,13963
129,129,63850
130,130,17839
131,131,9961
132,132,16373
133,133,23188
134,134,9402
135,135,25758
136,136,21544
137,137,36969
138,138,15417
139,139,12620
140,140,14446
141,141,26744
142,142,15731
143,143,29148
144,144,13251
145,145,13405
146,146,16982
147,147,31067
148,148,29059
149,149,13669
150,150,6664
151,151,7664
152,152,25773
153,153,3368
154,154,15593
155,155,13303
156,156,2314
157,157,4783
158,158,13690
159,159,5437
160,160,8909
161,161,3779
