LSTM,0,nan,nan
LSTM,1,nan,nan
LSTM,2,nan,nan
LSTM,3,nan,nan
LSTM,4,nan,nan
LSTM,5,nan,nan
LSTM,6,nan,nan
LSTM,7,nan,nan
LSTM,8,nan,nan
LSTM,9,nan,nan
LSTM,10,nan,nan
LSTM,11,nan,nan
LSTM,12,nan,nan
LSTM,13,nan,nan
LSTM,0,nan,nan
LSTM,1,nan,nan
LSTM,2,nan,nan
LSTM,3,nan,nan
LSTM,4,nan,nan
LSTM,5,nan,nan
LSTM,6,nan,nan
LSTM,7,nan,nan
LSTM,8,nan,nan
LSTM,9,nan,nan
LSTM,10,nan,nan
LSTM,11,nan,nan
LSTM,12,nan,nan
LSTM,13,nan,nan
LSTM,0,nan,nan
LSTM,1,nan,nan
LSTM,2,nan,nan
LSTM,3,nan,nan
LSTM,4,nan,nan
LSTM,5,nan,nan
LSTM,6,nan,nan
LSTM,7,nan,nan
LSTM,8,nan,nan
LSTM,9,nan,nan
LSTM,10,nan,nan
LSTM,11,nan,nan
LSTM,12,nan,nan
LSTM,13,nan,nan
LSTM,0,nan,nan
LSTM,1,nan,nan
LSTM,2,nan,nan
LSTM,3,nan,nan
LSTM,4,nan,nan
LSTM,5,nan,nan
LSTM,6,nan,nan
LSTM,7,nan,nan
LSTM,8,nan,nan
LSTM,9,nan,nan
LSTM,10,nan,nan
LSTM,11,nan,nan
LSTM,12,nan,nan
LSTM,13,nan,nan
