"time","county","state","fips","cases","deaths"
"2020-03-01","New York City","New York",NA,1,0
"2020-03-02","New York City","New York",NA,1,0
"2020-03-03","New York City","New York",NA,2,0
"2020-03-04","New York City","New York",NA,2,0
"2020-03-05","New York City","New York",NA,4,0
"2020-03-06","New York City","New York",NA,5,0
"2020-03-07","New York City","New York",NA,12,0
"2020-03-08","New York City","New York",NA,14,0
"2020-03-09","New York City","New York",NA,20,0
"2020-03-10","New York City","New York",NA,37,0
"2020-03-11","New York City","New York",NA,52,0
"2020-03-12","New York City","New York",NA,96,0
"2020-03-13","New York City","New York",NA,155,0
"2020-03-14","New York City","New York",NA,269,1
"2020-03-15","New York City","New York",NA,330,5
"2020-03-16","New York City","New York",NA,464,7
"2020-03-17","New York City","New York",NA,646,11
"2020-03-18","New York City","New York",NA,1344,25
"2020-03-19","New York City","New York",NA,2477,31
"2020-03-20","New York City","New York",NA,4419,54
"2020-03-21","New York City","New York",NA,6226,75
"2020-03-22","New York City","New York",NA,9065,119
"2020-03-23","New York City","New York",NA,12329,155
"2020-03-24","New York City","New York",NA,14943,230
"2020-03-25","New York City","New York",NA,20061,330
"2020-03-26","New York City","New York",NA,23182,435
"2020-03-27","New York City","New York",NA,25509,560
"2020-03-28","New York City","New York",NA,30919,825
"2020-03-29","New York City","New York",NA,33983,991
"2020-03-30","New York City","New York",NA,38375,1202
"2020-03-31","New York City","New York",NA,43518,1475
"2020-04-01","New York City","New York",NA,47914,1848
"2020-04-02","New York City","New York",NA,52400,2152
"2020-04-03","New York City","New York",NA,57941,2648
"2020-04-04","New York City","New York",NA,64274,3221
"2020-04-05","New York City","New York",NA,68726,3646
"2020-04-06","New York City","New York",NA,73553,4857
"2020-04-07","New York City","New York",NA,78498,5631
"2020-04-08","New York City","New York",NA,83673,6441
"2020-04-09","New York City","New York",NA,89127,7249
"2020-04-10","New York City","New York",NA,94702,7981
"2020-04-11","New York City","New York",NA,100840,8734
"2020-04-12","New York City","New York",NA,105939,9448
"2020-04-13","New York City","New York",NA,109706,10096
"2020-04-14","New York City","New York",NA,113632,10857
"2020-04-15","New York City","New York",NA,121653,11566
"2020-04-16","New York City","New York",NA,126623,12109
"2020-04-17","New York City","New York",NA,131003,12283
"2020-04-18","New York City","New York",NA,135052,12411
"2020-04-19","New York City","New York",NA,138370,13632
"2020-04-20","New York City","New York",NA,140881,14074
"2020-04-21","New York City","New York",NA,143547,14513
"2020-04-22","New York City","New York",NA,146787,14959
"2020-04-23","New York City","New York",NA,150327,15361
"2020-04-24","New York City","New York",NA,155081,15754
"2020-04-25","New York City","New York",NA,159851,16146
"2020-04-26","New York City","New York",NA,163106,16486
"2020-04-27","New York City","New York",NA,165463,16821
"2020-04-28","New York City","New York",NA,167487,17206
"2020-04-29","New York City","New York",NA,170124,17597
"2020-04-30","New York City","New York",NA,172784,17809
"2020-05-01","New York City","New York",NA,174931,17931
"2020-05-02","New York City","New York",NA,177490,18021
"2020-05-03","New York City","New York",NA,179728,18451
"2020-05-04","New York City","New York",NA,181034,18580
"2020-05-05","New York City","New York",NA,182318,18719
"2020-05-06","New York City","New York",NA,183770,18993
"2020-05-07","New York City","New York",NA,185653,19141
"2020-05-08","New York City","New York",NA,187157,19210
"2020-05-09","New York City","New York",NA,188663,19324
"2020-05-10","New York City","New York",NA,189656,19436
"2020-05-11","New York City","New York",NA,190546,19563
"2020-05-12","New York City","New York",NA,191320,19736
"2020-05-13","New York City","New York",NA,192394,19815
"2020-05-14","New York City","New York",NA,193663,19904
"2020-05-15","New York City","New York",NA,195472,19972
"2020-05-16","New York City","New York",NA,196481,20071
"2020-05-17","New York City","New York",NA,197486,20214
"2020-05-18","New York City","New York",NA,198114,20298
"2020-05-19","New York City","New York",NA,198710,20376
"2020-05-20","New York City","New York",NA,199392,20422
"2020-05-21","New York City","New York",NA,200507,20491
"2020-05-22","New York City","New York",NA,201298,20569
"2020-05-23","New York City","New York",NA,202062,20621
"2020-05-24","New York City","New York",NA,202931,20697
"2020-05-25","New York City","New York",NA,203569,20740
"2020-05-26","New York City","New York",NA,204111,20795
"2020-05-27","New York City","New York",NA,204781,20844
"2020-05-28","New York City","New York",NA,205854,20895
"2020-05-29","New York City","New York",NA,206800,20960
"2020-05-30","New York City","New York",NA,207539,20991
"2020-05-31","New York City","New York",NA,208085,21050
"2020-06-01","New York City","New York",NA,208550,21090
"2020-06-02","New York City","New York",NA,209195,21132
"2020-06-03","New York City","New York",NA,209688,21170
"2020-06-04","New York City","New York",NA,210227,21234
"2020-06-05","New York City","New York",NA,210728,21262
"2020-06-06","New York City","New York",NA,211274,21294
"2020-06-07","New York City","New York",NA,211728,21323
"2020-06-08","New York City","New York",NA,212122,21356
"2020-06-09","New York City","New York",NA,212469,21396
"2020-06-10","New York City","New York",NA,212884,21436
"2020-06-11","New York City","New York",NA,213271,21468
"2020-06-12","New York City","New York",NA,213707,21519
"2020-06-13","New York City","New York",NA,214242,21551
"2020-06-14","New York City","New York",NA,214627,21578
"2020-06-15","New York City","New York",NA,215011,21600
"2020-06-16","New York City","New York",NA,215342,21619
"2020-06-17","New York City","New York",NA,215686,21645
"2020-06-18","New York City","New York",NA,216013,21673
"2020-06-19","New York City","New York",NA,216421,21710
"2020-06-20","New York City","New York",NA,216803,21719
"2020-06-21","New York City","New York",NA,217189,21753
"2020-06-22","New York City","New York",NA,217487,21796
"2020-06-23","New York City","New York",NA,217803,21817
"2020-06-24","New York City","New York",NA,218089,21838
"2020-06-25","New York City","New York",NA,218429,21856
"2020-06-26","New York City","New York",NA,218799,21893
"2020-06-27","New York City","New York",NA,219157,21913
"2020-06-28","New York City","New York",NA,219481,21940
"2020-06-29","New York City","New York",NA,219670,21941
"2020-06-30","New York City","New York",NA,219844,22566
"2020-07-01","New York City","New York",NA,220143,22574
"2020-07-02","New York City","New York",NA,220567,22593
"2020-07-03","New York City","New York",NA,221028,22610
"2020-07-04","New York City","New York",NA,221395,22630
"2020-07-05","New York City","New York",NA,221637,22661
"2020-07-06","New York City","New York",NA,221882,22672
"2020-07-07","New York City","New York",NA,222156,22690
"2020-07-08","New York City","New York",NA,222444,22696
"2020-07-09","New York City","New York",NA,222723,22719
"2020-07-10","New York City","New York",NA,223078,22739
"2020-07-11","New York City","New York",NA,223382,22750
"2020-07-12","New York City","New York",NA,223725,22755
"2020-07-13","New York City","New York",NA,223977,22795
"2020-07-14","New York City","New York",NA,224293,22808
"2020-07-15","New York City","New York",NA,224662,22825
"2020-07-16","New York City","New York",NA,225045,22842
"2020-07-17","New York City","New York",NA,225414,22848
"2020-07-18","New York City","New York",NA,225799,22859
"2020-07-19","New York City","New York",NA,226104,22872
"2020-07-20","New York City","New York",NA,226388,22882
"2020-07-21","New York City","New York",NA,226779,22895
