S,E,I,R,C
1e+06,30,22,34,15
9.9999e+05,30,29,36,15
9.9998e+05,38,30,40,15
9.9997e+05,38,32,45,18
9.9996e+05,39,34,50,20
9.9996e+05,39,35,56,23
9.9995e+05,38,40,60,24
9.9993e+05,47,36,72,26
9.9992e+05,56,35,79,28
9.999e+05,57,35,90,33
9.9988e+05,65,47,93,37
9.9987e+05,70,49,101,44
9.9985e+05,82,49,110,49
9.9983e+05,85,58,116,54
9.998e+05,91,64,130,56
9.9977e+05,109,61,147,58
9.9973e+05,120,77,156,67
9.9971e+05,121,77,177,74
9.9969e+05,109,90,195,78
9.9964e+05,142,91,214,83
9.9958e+05,165,105,233,87
9.9955e+05,158,124,253,97
9.9948e+05,198,137,271,107
9.9938e+05,259,151,297,111
9.9929e+05,300,169,328,118
9.9924e+05,295,188,367,126
9.9917e+05,305,209,405,135
9.9909e+05,327,229,439,148
9.9896e+05,390,256,480,158
9.9887e+05,399,284,537,174
9.9874e+05,441,323,578,183
9.9855e+05,558,340,643,209
9.9837e+05,623,378,711,226
9.9816e+05,722,436,771,251
9.9796e+05,798,478,854,284
9.9769e+05,910,558,933,306
9.9736e+05,1063,641,1024,344
9.9707e+05,1139,745,1128,375
9.9663e+05,1369,837,1255,424
9.9616e+05,1524,1006,1400,469
9.9573e+05,1634,1147,1572,547
9.9518e+05,1886,1241,1780,635
9.9467e+05,2027,1410,1979,716
9.9412e+05,2140,1571,2254,801
9.9334e+05,2486,1713,2547,882
9.9273e+05,2613,1913,2832,993
9.9202e+05,2776,2135,3154,1121
9.9136e+05,2879,2284,3562,1290
9.9062e+05,3049,2424,3992,1445
9.8947e+05,3624,2530,4461,1607
9.8876e+05,3602,2826,4902,1766
9.8782e+05,3831,3007,5424,1955
9.8661e+05,4303,3189,5981,2173
9.8576e+05,4311,3492,6527,2392
9.8432e+05,4893,3748,7130,2638
9.8349e+05,4742,4072,7781,2918
9.8189e+05,5409,4260,8529,3202
9.7996e+05,6292,4551,9287,3468
9.7852e+05,6515,4925,10125,3772
9.7681e+05,6997,5264,11013,4124
9.7438e+05,8096,5608,12001,4496
9.7204e+05,8869,6176,12999,4912
9.7048e+05,8679,6872,14058,5323
9.6795e+05,9548,7265,15319,5789
9.6486e+05,10703,7823,16698,6313
9.6147e+05,12023,8475,18122,6861
9.5739e+05,13735,9291,19673,7408
9.5287e+05,15654,10198,21367,8062
9.4716e+05,18291,11378,23260,8785
9.4294e+05,18989,12824,25331,9587
9.3974e+05,18537,14131,27679,10452
9.3357e+05,21047,15222,30244,11416
9.2774e+05,22830,16538,32975,12460
9.2294e+05,23157,18057,35934,13623
9.1436e+05,27170,19318,39234,14935
9.0713e+05,29153,21143,42659,16234
8.9697e+05,33571,23023,46521,17739
8.8671e+05,37263,25430,50681,19334
8.7276e+05,43948,28096,55281,21060
8.592e+05,48906,31655,60327,23035
8.4401e+05,54521,35536,66024,25248
8.3128e+05,56469,39935,72398,27627
8.183e+05,58372,43823,79589,30344
7.9752e+05,67704,47321,87543,33459
7.8057e+05,71491,52002,96025,36728
7.6157e+05,76495,56598,1.0542e+05,40314
7.4888e+05,74508,60927,1.1577e+05,44206
7.2809e+05,80772,64391,1.2683e+05,48532
7.0851e+05,84548,68513,1.3852e+05,52958
6.8531e+05,91320,72476,1.5098e+05,57684
6.6387e+05,95000,77050,1.6417e+05,62799
6.467e+05,93661,81690,1.7803e+05,68079
6.1647e+05,1.0546e+05,85344,1.9281e+05,73712
5.9102e+05,1.1045e+05,90427,2.082e+05,79591
5.7675e+05,1.0327e+05,95456,2.2461e+05,85823
5.5399e+05,1.0583e+05,98377,2.4188e+05,92538
5.3443e+05,1.0475e+05,1.011e+05,2.5981e+05,99283
5.1206e+05,1.0672e+05,1.0316e+05,2.7815e+05,1.0623e+05
4.8208e+05,1.1566e+05,1.0554e+05,2.9681e+05,1.1329e+05
4.5992e+05,1.1542e+05,1.0877e+05,3.1598e+05,1.2034e+05
4.2937e+05,1.2335e+05,1.1157e+05,3.358e+05,1.2779e+05
